,translation
0,"{'en': 'HI', 'hi_en': 'HI'}"
1,"{'en': 'Hello', 'hi_en': 'Hello'}"
2,"{'en': 'How are you doing /', 'hi_en': 'Tum kaise ho?'}"
3,"{'en': '?', 'hi_en': '?'}"
4,"{'en': '*', 'hi_en': '*'}"
5,"{'en': 'Im doing well', 'hi_en': 'I am doing well'}"
6,"{'en': 'Good', 'hi_en': 'Good'}"
7,"{'en': 'Have you seen Maleficent?', 'hi_en': 'Kya tumne Maleficent dekhi hai'}"
8,"{'en': 'Yes ofcourse', 'hi_en': 'Han bilkul'}"
9,"{'en': 'its so lovely', 'hi_en': 'wo bohat lovely hai'}"
10,"{'en': 'Its really good', 'hi_en': 'ye really achi hai'}"
11,"{'en': 'what do you like about it', 'hi_en': 'iske baare mein tume kya acha laga'}"
12,"{'en': 'The CGI is really good', 'hi_en': 'CGI really good hai'}"
13,"{'en': 'and the storyline is fantastic', 'hi_en': 'aur storyline fantastic hai'}"
14,"{'en': 'i really agree with that', 'hi_en': 'main really agree karta hun isse'}"
15,"{'en': 'totally agree', 'hi_en': 'bilkul agree'}"
16,"{'en': 'and also the casting', 'hi_en': 'aur casting bhi'}"
17,"{'en': 'It tells a great story about how good intentions can turn out bad', 'hi_en': 'ye great story batati hai is baare mein ki kaise good intentions bad turn out kar sakte hain'}"
18,"{'en': 'and all other components of the movie is great', 'hi_en': 'aur movie ke baki saare components great hain'}"
19,"{'en': 'yes it stars Angelina Joile', 'hi_en': 'han ye Angelina Jolie ko star karti hai'}"
20,"{'en': 'yes its a clean movie', 'hi_en': 'haan, yeh clean movie hein'}"
21,"{'en': 'shes suitable for this role', 'hi_en': 'voh is role ke liye suitable hein'}"
22,"{'en': 'she pulled it out really good', 'hi_en': 'isme tho yeh ache tarah pulled out kiya'}"
23,"{'en': 'It got a score of 51% on rotten tomatos', 'hi_en': 'rotten tomatoes ne tho 51% score deya hein'}"
24,"{'en': 'i feel it should have been higher', 'hi_en': 'muje bhi kuch aise hi feel huva'}"
